stFips,Year,Total_CC,FDH,Other_CC,state_name,state
26,2010,1850,6059,0,Michigan,MI
26,2011,1694,5435,0,Michigan,MI
26,2012,1712,5023,0,Michigan,MI
26,2013,1650,4639,0,Michigan,MI
26,2014,1559,4247,0,Michigan,MI
26,2015,1422,3846,0,Michigan,MI
26,2016,1314,3327,0,Michigan,MI
26,2017,1215,2913,0,Michigan,MI
26,2018,1136,2551,0,Michigan,MI
26,2019,1006,1903,0,Michigan,MI
26,2020,831,1537,0,Michigan,MI
26,2021,744,1112,0,Michigan,MI
26,2022,1778,1851,0,Michigan,MI
26,2023,3436,2845,0,Michigan,MI
26,2024,3705,2962,0,Michigan,MI
27,2003,0,1,0,Minnesota,MN
27,2004,0,1,0,Minnesota,MN
27,2005,0,1,0,Minnesota,MN
28,2000,244,4,0,Mississippi,MS
28,2001,437,3,0,Mississippi,MS
28,2002,612,1,0,Mississippi,MS
28,2003,765,2,0,Mississippi,MS
28,2004,889,2,0,Mississippi,MS
28,2005,981,5,0,Mississippi,MS
28,2006,1100,5,0,Mississippi,MS
28,2007,1234,5,0,Mississippi,MS
28,2008,1299,2,0,Mississippi,MS
28,2009,1390,2,0,Mississippi,MS
28,2010,1479,0,0,Mississippi,MS
28,2011,1508,0,0,Mississippi,MS
28,2012,1497,0,0,Mississippi,MS
28,2013,1460,0,0,Mississippi,MS
28,2014,1472,0,0,Mississippi,MS
28,2015,1462,0,0,Mississippi,MS
28,2016,1443,0,0,Mississippi,MS
28,2017,1532,0,0,Mississippi,MS
28,2018,1603,0,0,Mississippi,MS
28,2019,1594,0,0,Mississippi,MS
28,2020,1570,0,0,Mississippi,MS
28,2021,1587,0,0,Mississippi,MS
28,2022,1583,0,0,Mississippi,MS
28,2023,1570,0,0,Mississippi,MS
28,2024,3,0,0,Mississippi,MS
29,2000,77,97,0,Missouri,MO
29,2001,77,103,0,Missouri,MO
29,2002,86,113,0,Missouri,MO
29,2003,89,126,0,Missouri,MO
29,2004,90,136,0,Missouri,MO
29,2005,92,144,0,Missouri,MO
29,2006,94,156,0,Missouri,MO
29,2007,98,177,0,Missouri,MO
29,2008,102,192,0,Missouri,MO
29,2009,111,203,0,Missouri,MO
29,2010,118,219,0,Missouri,MO
29,2011,129,242,0,Missouri,MO
29,2012,136,273,0,Missouri,MO
29,2013,142,304,0,Missouri,MO
29,2014,151,328,0,Missouri,MO
29,2015,160,345,0,Missouri,MO
29,2016,167,362,0,Missouri,MO
29,2017,174,362,0,Missouri,MO
29,2018,178,348,0,Missouri,MO
29,2019,180,338,0,Missouri,MO
29,2020,185,332,0,Missouri,MO
29,2021,185,319,0,Missouri,MO
29,2022,179,299,0,Missouri,MO
29,2023,166,267,0,Missouri,MO
31,2000,135,266,0,Nebraska,NE
31,2001,250,585,0,Nebraska,NE
31,2002,407,1012,0,Nebraska,NE
31,2003,673,1804,0,Nebraska,NE
31,2004,733,2120,0,Nebraska,NE
31,2005,738,2127,0,Nebraska,NE
31,2006,732,2115,0,Nebraska,NE
31,2007,784,2129,0,Nebraska,NE
31,2008,813,2175,0,Nebraska,NE
31,2009,823,2220,0,Nebraska,NE
31,2010,851,2222,0,Nebraska,NE
31,2011,857,2209,0,Nebraska,NE
31,2012,869,2126,0,Nebraska,NE
31,2013,850,1918,226,Nebraska,NE
31,2014,673,1693,108,Nebraska,NE
31,2015,634,1544,87,Nebraska,NE
31,2016,632,1468,97,Nebraska,NE
31,2017,630,1372,106,Nebraska,NE
31,2018,586,1285,100,Nebraska,NE
31,2019,569,1177,79,Nebraska,NE
31,2020,511,1013,72,Nebraska,NE
31,2021,443,900,62,Nebraska,NE
31,2022,362,781,39,Nebraska,NE
31,2023,218,434,5,Nebraska,NE
32,2002,0,1,0,Nevada,NV
32,2003,0,1,0,Nevada,NV
32,2004,0,1,0,Nevada,NV
33,2000,156,98,0,New Hampshire,NH
33,2001,140,88,0,New Hampshire,NH
33,2002,127,70,0,New Hampshire,NH
33,2003,115,59,0,New Hampshire,NH
33,2004,103,54,0,New Hampshire,NH
33,2005,96,43,0,New Hampshire,NH
33,2006,93,38,0,New Hampshire,NH
33,2007,95,35,0,New Hampshire,NH
33,2008,110,40,0,New Hampshire,NH
33,2009,138,54,0,New Hampshire,NH
33,2010,146,74,0,New Hampshire,NH
33,2011,172,79,0,New Hampshire,NH
33,2012,164,74,0,New Hampshire,NH
33,2013,166,80,0,New Hampshire,NH
33,2014,176,72,0,New Hampshire,NH
33,2015,189,65,0,New Hampshire,NH
33,2016,183,60,0,New Hampshire,NH
33,2017,170,56,0,New Hampshire,NH
33,2018,170,49,0,New Hampshire,NH
33,2019,186,49,0,New Hampshire,NH
33,2020,148,45,0,New Hampshire,NH
33,2021,126,37,0,New Hampshire,NH
33,2022,115,41,0,New Hampshire,NH
33,2023,96,29,0,New Hampshire,NH
34,2004,3782,0,0,New Jersey,NJ
34,2005,4019,0,0,New Jersey,NJ
34,2006,4111,1,0,New Jersey,NJ
34,2007,3972,1,0,New Jersey,NJ
34,2008,3964,1,0,New Jersey,NJ
34,2009,3966,1,0,New Jersey,NJ
34,2010,3952,2,0,New Jersey,NJ
34,2011,3895,2,0,New Jersey,NJ
34,2012,3815,2,0,New Jersey,NJ
34,2013,3786,2,0,New Jersey,NJ
34,2014,3765,2,0,New Jersey,NJ
34,2015,3708,2,0,New Jersey,NJ
34,2016,3701,2,0,New Jersey,NJ
34,2017,3756,2,0,New Jersey,NJ
34,2018,4288,2225,0,New Jersey,NJ
34,2019,4373,2543,0,New Jersey,NJ
34,2020,4312,2039,0,New Jersey,NJ
34,2021,4226,1457,0,New Jersey,NJ
34,2022,4171,1377,0,New Jersey,NJ
34,2023,4029,1482,0,New Jersey,NJ
34,2024,3929,1377,0,New Jersey,NJ
36,2000,704,7321,907,New York,NY
36,2001,850,11714,1360,New York,NY
36,2002,1020,14580,1545,New York,NY
36,2003,1146,16218,1740,New York,NY
36,2004,1254,16595,1837,New York,NY
36,2005,1330,16597,2022,New York,NY
